nN,nO,AATS6dv,AATS0v,ATSC5d,GATS4Z,GATS5v,C1SP2,Xp-3dv,NtsC,SssssC,IC1,PEOE_VSA3,SMR_VSA4,n6ARing,GGI7,label
4,1,3.6758620689655173,228.23270650066405,1.2006771314250537,0.965368278355174,0.9901782557460422,2,5.061256988970212,0,0.0,3.225082332850344,4.9839785209472085,0.0,0,0.3993055555555556,inactive
5,1,4.524590163934426,250.63904748630767,-11.405925925925924,1.0688731939251261,0.964002318140733,3,4.943493389084123,1,-1.2593033509700176,3.558659352780987,4.992404732635669,10.726072209797854,0,0.5139243197278911,active
4,1,4.563025210084033,245.20386517261315,-10.5,1.0298563800886067,0.9675444578559863,3,4.776440378622376,0,-1.2865988756613755,3.482301653644321,9.382819780310488,10.726072209797854,0,0.4982993197278911,active
3,4,1.8451178451178452,184.00135066416232,-6.616549486208756,1.0572408300925569,1.0105003440672593,3,7.644337489177726,0,0.0,3.0685038336855257,0.0,23.671624184645573,1,0.7708333333333334,active
4,1,5.084033613445378,248.52114383741355,-9.119834710743802,1.045036169566977,0.987204396881536,3,4.881089849697533,0,-1.415094718442933,3.6108416113610575,13.77323482798531,10.726072209797854,0,0.5920493197278911,active
4,1,5.084033613445378,248.52114383741355,-9.119834710743804,1.045036169566977,0.9767813883186348,3,4.857901155809063,0,-1.415094718442933,3.6108416113610575,13.77323482798531,10.726072209797854,0,0.5920493197278911,active
4,1,5.084033613445378,248.52114383741355,-9.119834710743804,1.045036169566977,0.9767813883186348,3,4.857901155809063,0,-1.415094718442933,3.6108416113610575,13.77323482798531,10.726072209797854,0,0.5920493197278911,active
3,0,3.7876106194690267,241.77057959859047,0.15857438016528871,1.033665572158744,0.9678817936712873,1,4.268187697021544,0,0.0,2.6138243943587627,4.9839785209472085,0.0,0,0.2013888888888889,inactive
5,1,4.519870235198702,256.03862142617066,0.5482378070487718,1.0773193058640025,0.9978261415481079,3,5.528809027052141,0,0.0,3.2259702859947503,4.9839785209472085,0.0,0,0.46442743764172334,active
3,1,4.205065359477125,263.08068895981387,-0.4437869822485192,0.9276338050863391,0.9945305820311109,3,6.217014298598734,0,0.0,3.1888366617155572,4.9839785209472085,0.0,0,0.4305555555555556,active
4,1,5.084033613445378,248.52114383741355,-9.119834710743804,1.045036169566977,0.9767813883186348,3,4.857901155809063,0,-1.415094718442933,3.6108416113610575,13.77323482798531,10.726072209797854,0,0.5920493197278911,inactive
3,4,3.2636534839924676,217.63180939695505,-4.813148788927336,0.9876708657196461,0.9992673459009641,1,6.965558197900748,0,0.0,3.6310548512078324,12.808212032003757,5.733667477162185,0,0.6336805555555556,inactive
4,1,3.8652482269503547,235.40175966683623,2.0975206611570267,1.0432339080291544,0.9822669404175026,2,5.265381134202146,0,0.0,3.240137944863876,4.9839785209472085,0.0,0,0.35848922902494335,inactive
4,1,3.7891156462585034,231.59967538426173,1.7871581450653997,1.0171229190930298,0.9673528264530242,2,6.081877715129872,0,0.0,3.247637454833018,4.9839785209472085,0.0,0,0.3923611111111111,inactive
3,1,4.140018066847334,246.1014142478268,5.295138888888889,1.0704425839560974,0.9747244799171296,1,4.994261173699982,0,0.0,3.2136901435106306,4.9839785209472085,0.0,0,0.38456632653061223,inactive
3,4,1.9377289377289377,184.8003827289972,-0.6921178690666268,1.0336717332496783,0.9881704195862321,3,7.5265662034071505,0,-0.3806480152455227,3.1062254443253954,0.0,17.75371813848418,1,0.8333333333333334,inactive
3,4,2.964573268921095,213.11259216507193,-3.973703433162894,0.9725138538771078,0.9523246146525951,1,7.785569849010675,0,-0.5760832649556251,3.617729839953427,12.808212032003757,5.733667477162185,0,0.7708333333333334,inactive
3,4,3.4023569023569022,217.33250268810357,-7.110097202935927,0.9764019407226545,1.0532047959275315,1,7.347579615264401,0,-1.242749931622292,3.718655217425862,17.198627079678577,5.733667477162185,0,0.7708333333333334,active
3,1,3.5896877269426284,229.26009077234082,7.765555555555556,1.0096273122419817,0.945777105169649,1,5.775178610477779,0,0.0,3.3223566537807505,4.9839785209472085,0.0,0,0.42796910430839,active
6,0,4.306540583136328,252.37137178287597,1.372427983539094,1.0278441209401397,1.0196679071551382,3,5.638393126284877,0,0.0,3.280526551419744,14.951935562841626,0.0,0,0.46442743764172334,active
3,3,3.6345679012345675,222.9375850219345,4.762975778546712,1.026091108483854,0.9939536816412209,1,6.239331351887615,0,0.0,3.5134077923843026,4.9839785209472085,0.0,0,0.5668579931972788,active
